year,week,date,team1,score1,team2,score2
2023,1,Aug. 31,Stevenson,20.0,Rowan,17.0
2023,1,Aug. 31,Heidelberg,68.0,Hiram,14.0
2023,1,Aug. 31,Brockport,42.0,Buffalo State,6.0
2023,1,Aug. 31,UW-Platteville,80.0,Lakeland,13.0
2023,1,Aug. 31,McMurry,19.0,Birmingham-Southern,20.0
2023,1,,Unknown,,Unknown,
2023,1,Aug. 31,UW-Stevens Point,9.0,Unknown,77.0
2023,1,Aug. 31,Millsaps,7.0,Belhaven,47.0
2023,1,Aug. 31,Rockford,27.0,Beloit,34.0
2023,1,Aug. 31,East Texas Baptist,14.0,BX,34.0
2023,1,Sep. 1,Mass-Dartmouth,57.0,Nichols,6.0
2023,1,Sep. 1,Salve Regina,48.0,Curry,0.0
2023,1,Sep. 1,Hobart,31.0,Alfred,9.0
2023,1,Sep. 1,McDaniel,7.0,Catholic,34.0
2023,1,Sep. 1,Franklin and Marshall,16.0,Lebanon Valley,12.0
2023,1,Sep. 1,Worcester State,13.0,WPI,44.0
2023,1,Sep. 1,Alvernia,6.0,Ursinus,38.0
2023,1,Sep. 1,Northwestern (Minn.),10.0,Augsburg,52.0
2023,1,Sep. 2,Crown,13.0,Hamline,45.0
2023,1,Sep. 2,Fitchburg State,17.0,Dean,33.0
2023,1,Sep. 2,King's,27.0,Wilkes,23.0
2023,1,Sep. 2,Oberlin,10.0,Kalamazoo,42.0
2023,1,Sep. 2,Ohio Wesleyan,35.0,Otterbein,21.0
2023,1,Sep. 2,Utica,20.0,Rochester,17.0
2023,1,Sep. 2,Gallaudet,6.0,Keystone,27.0
2023,1,Sep. 2,Eastern,21.0,TCNJ,41.0
2023,1,Sep. 2,Merchant Marine,52.0,Western Connecticut,35.0
2023,1,Sep. 2,Westfield State,26.0,Anna Maria,51.0
2023,1,Sep. 2,Union,65.0,Hilbert,0.0
2023,1,Sep. 2,Bridgewater State,27.0,MIT,41.0
2023,1,Sep. 2,Coe,56.0,Cornell,6.0
2023,1,Sep. 2,Buena Vista,7.0,Gustavus Adolphus,51.0
2023,1,Sep. 2,RPI,38.0,Dickinson,27.0
2023,1,Sep. 2,Plymouth State,21.0,Castleton,25.0
2023,1,Sep. 2,St. John Fisher,7.0,Marietta,31.0
2023,1,Sep. 2,Alfred State,24.0,Misericordia,14.0
2023,1,Sep. 2,Morrisville State,24.0,Kean,14.0
2023,1,Sep. 2,Ferrum,20.0,Muskingum,31.0
2023,1,Sep. 2,Methodist,29.0,Shenandoah,44.0
2023,1,Sep. 2,Allegheny,39.0,Waynesburg,36.0
2023,1,Sep. 2,Wooster,43.0,Wilmington,63.0
2023,1,Sep. 2,Norwich,14.0,Husson,28.0
2023,1,Sep. 2,Wabash,29.0,Hampden-Sydney,28.0
2023,1,Sep. 2,Brevard,29.0,BX,23.0
2023,1,Sep. 2,Salisbury,28.0,Washington and Lee,7.0
2023,1,Sep. 2,Averett,34.0,BX,14.0
2023,1,Sep. 2,Coast Guard,28.0,University of New England,44.0
2023,1,Sep. 2,FDU-Florham,33.0,William Paterson,29.0
2023,1,Sep. 2,Springfield,28.0,Western New England,14.0
2023,1,Sep. 2,Washington and Jefferson,51.0,St. Vincent,0.0
2023,1,Sep. 2,Lycoming,21.0,Widener,42.0
2023,1,Sep. 2,Juniata,20.0,Gettysburg,40.0
2023,1,Sep. 2,Denison,45.0,Capital,35.0
2023,1,Sep. 2,Mount St. Joseph,46.0,Baldwin Wallace,33.0
2023,1,Sep. 2,Olivet,35.0,Franklin,32.0
2023,1,Sep. 2,Rhodes,47.0,Westminster (Mo.),0.0
2023,1,Sep. 2,Washington U.,44.0,Hendrix,27.0
2023,1,Sep. 2,Wittenberg,28.0,Dubuque,27.0
2023,1,Sep. 2,Martin Luther,14.0,Concordia (Wis.),55.0
2023,1,Sep. 2,Albion,41.0,Carthage,20.0
2023,1,Sep. 2,Greenville,41.0,Concordia-Chicago,14.0
2023,1,Sep. 2,Adrian,3.0,Elmhurst,14.0
2023,1,Sep. 2,Central,34.0,St. Olaf,24.0
2023,1,Sep. 2,Ripon,7.0,St. Norbert,23.0
2023,1,Sep. 2,Claremont-Mudd-Scripps,24.0,Chicago,15.0
2023,1,Sep. 2,Concordia-Moorhead,28.0,UW-Eau Claire,31.0
2023,1,Sep. 2,UW-Stout,35.0,BX,7.0
2023,1,Sep. 2,Maryville (Tenn.),28.0,Sewanee,8.0
2023,1,Sep. 2,Texas Lutheran,31.0,UW-Oshkosh,48.0
2023,1,Sep. 2,Hartwick,11.0,SUNY-Maritime,34.0
2023,1,Sep. 2,Southwestern,35.0,Cal Lutheran,41.0
2023,1,Sep. 2,Redlands,24.0,Pacific Lutheran,14.0
2023,1,Sep. 2,Lewis and Clark,38.0,Puget Sound,42.0
2023,1,Sep. 2,Southern Virginia,0.0,Christopher Newport,45.0
2023,1,Sep. 2,Trine,61.0,Anderson,0.0
2023,1,Sep. 2,North Park,27.0,Manchester,0.0
2023,1,Sep. 2,Greensboro,21.0,Guilford,36.0
2023,1,Sep. 2,Case Western Reserve,14.0,Thiel,0.0
2023,1,Sep. 2,DePauw,33.0,Rose-Hulman,21.0
2023,1,Sep. 2,Kenyon,35.0,Bluffton,51.0
2023,1,Sep. 2,Millikin,0.0,Illinois College,31.0
2023,1,Sep. 2,Grinnell,12.0,Lyon,18.0
2023,1,Sep. 2,Benedictine,41.0,Loras,42.0
2023,1,Sep. 2,Minnesota-Morris,30.0,Macalester,44.0
2023,1,Sep. 2,Knox,16.0,Eureka,41.0
2023,1,Sep. 2,Lake Forest,24.0,Wisconsin Lutheran,0.0
2023,1,Sep. 2,Augustana,49.0,Simpson,27.0
2023,1,Sep. 2,Carnegie Mellon,31.0,Geneva,0.0
2023,1,Sep. 2,Nebraska Wesleyan,19.0,Austin,7.0
2023,1,Sep. 2,Hanover,10.0,Centre,7.0
2023,1,Sep. 2,Sul Ross State,28.0,BX,42.0
2023,1,Sep. 2,Howard Payne,17.0,George Fox,3.0
2023,1,Sep. 2,Willamette,24.0,La Verne,21.0
2023,2,Sep. 9,Wartburg,16.0,Bethel,2.0
2023,2,Sep. 9,Hardin-Simmons,28.0,UW-La Crosse,21.0
2023,2,Sep. 9,St. John's,28.0,UW-Whitewater,56.0
2023,2,Sep. 9,Mary Hardin-Baylor,16.0,Trinity (Texas),35.0
2023,2,Sep. 9,Christopher Newport,14.0,Johns Hopkins,20.0
2023,2,Sep. 9,Catholic,14.0,Randolph-Macon,59.0
2023,2,Sep. 9,Susquehanna,6.0,Brockport,5.0
2023,2,Sep. 9,UW-Oshkosh,21.0,Wheaton (Ill.),30.0
2023,2,Sep. 9,Cortland,62.0,Lycoming,7.0
2023,2,Sep. 9,Aurora,45.0,Franklin,30.0
2023,2,Sep. 9,Alma,68.0,Manchester,0.0
2023,2,Sep. 9,Ithaca,20.0,Endicott,17.0
2023,2,Sep. 9,Grove City,43.0,Waynesburg,27.0
2023,2,Sep. 9,Whitworth,42.0,BX,28.0
2023,2,Sep. 9,Linfield,28.0,Denison,14.0
2023,2,Sep. 9,Salisbury,17.0,Muhlenberg,29.0
2023,2,Sep. 9,Berry,70.0,LaGrange,3.0
2023,2,Sep. 9,UW-River Falls,37.0,Ohio Wesleyan,10.0
2023,2,Sep. 9,Delaware Valley,41.0,Albright,10.0
2023,2,Sep. 7,Framingham State,0.0,Salve Regina,29.0
2023,2,Sep. 8,Norwich,7.0,St. Lawrence,14.0
2023,2,Sep. 8,SUNY-Maritime,14.0,Massachusetts Maritime,7.0
2023,2,Sep. 8,WPI,24.0,Bridgewater State,21.0
2023,2,Sep. 8,Western New England,46.0,Westfield State,0.0
2023,2,Sep. 9,Alfred,34.0,Juniata,0.0
2023,2,Sep. 9,University of New England,31.0,Plymouth State,21.0
2023,2,Sep. 9,Husson,20.0,Springfield,45.0
2023,2,Sep. 9,Muskingum,27.0,Otterbein,14.0
2023,2,Sep. 9,Hiram,21.0,Mount St. Joseph,62.0
2023,2,Sep. 9,Anna Maria,24.0,Coast Guard,93.0
2023,2,Sep. 9,Hilbert,7.0,St. John Fisher,62.0
2023,2,Sep. 9,King's,42.0,Misericordia,10.0
2023,2,Sep. 9,Wilkes,14.0,RPI,38.0
2023,2,Sep. 9,Kean,14.0,Ursinus,30.0
2023,2,Sep. 9,FDU-Florham,20.0,Widener,30.0
2023,2,Sep. 9,Moravian,20.0,Utica,35.0
2023,2,Sep. 9,Keystone,21.0,Hartwick,31.0
2023,2,Sep. 9,Washington and Jefferson,42.0,Bethany,7.0
2023,2,Sep. 9,Thiel,7.0,Westminster (Pa.),28.0
2023,2,Sep. 9,Brevard,17.0,Hampden-Sydney,31.0
2023,2,Sep. 9,Geneva,27.0,Allegheny,21.0
2023,2,Sep. 9,Bridgewater,35.0,Southern Virginia,9.0
2023,2,Sep. 9,Morrisville State,10.0,Hobart,27.0
2023,2,Sep. 9,St. Vincent,0.0,Carnegie Mellon,38.0
2023,2,Sep. 9,Olivet,22.0,Wooster,24.0
2023,2,Sep. 9,Loras,28.0,Hope,42.0
2023,2,Sep. 9,Defiance,34.0,Adrian,17.0
2023,2,Sep. 9,Kalamazoo,48.0,Kenyon,16.0
2023,2,Sep. 9,Lebanon Valley,45.0,Stevenson,38.0
2023,2,Sep. 9,Buffalo State,37.0,BX,23.0
2023,2,Sep. 9,Rowan,49.0,McDaniel,28.0
2023,2,Sep. 9,Union,63.0,Worcester State,0.0
2023,2,Sep. 9,Gallaudet,13.0,Merchant Marine,30.0
2023,2,Sep. 9,William Paterson,17.0,Dickinson,29.0
2023,2,Sep. 9,Anderson,19.0,DePauw,68.0
2023,2,Sep. 9,Sul Ross State,51.0,BX,12.0
2023,2,Sep. 9,Eureka,23.0,Greenville,14.0
2023,2,Sep. 9,Capital,7.0,Ohio Northern,40.0
2023,2,Sep. 9,Wilmington,25.0,Baldwin Wallace,61.0
2023,2,Sep. 9,Montclair State,32.0,Gettysburg,21.0
2023,2,Sep. 9,Centre,23.0,Maryville (Tenn.),34.0
2023,2,Sep. 9,Concordia-Chicago,35.0,Oberlin,37.0
2023,2,Sep. 9,Nebraska Wesleyan,30.0,BX,33.0
2023,2,Sep. 9,Concordia (Wis.),10.0,Northwestern (Minn.),26.0
2023,2,Sep. 9,McMurry,53.0,Millsaps,2.0
2023,2,Sep. 9,Pomona-Pitzer,24.0,Carleton,45.0
2023,2,Sep. 9,Lawrence,7.0,Cornell,31.0
2023,2,Sep. 9,St. Scholastica,37.0,Rockford,38.0
2023,2,Sep. 9,Beloit,14.0,Knox,31.0
2023,2,Sep. 9,Sewanee,32.0,Westminster (Mo.),14.0
2023,2,Sep. 9,Pacific Lutheran,21.0,Concordia-Moorhead,26.0
2023,2,Sep. 9,Macalester,56.0,Martin Luther,27.0
2023,2,Sep. 9,Austin,17.0,Rhodes,19.0
2023,2,Sep. 9,Central,38.0,Illinois Wesleyan,13.0
2023,2,Sep. 9,UW-Eau Claire,14.0,Coe,44.0
2023,2,Sep. 9,Chicago,6.0,Monmouth,39.0
2023,2,Sep. 9,Ripon,31.0,Grinnell,12.0
2023,2,Sep. 9,St. Norbert,28.0,UW-Stevens Point,31.0
2023,2,Sep. 9,UW-Stout,24.0,BX,21.0
2023,2,Sep. 9,Lake Forest,37.0,Illinois College,6.0
2023,2,Sep. 9,Simpson,48.0,Crown,46.0
2023,2,Sep. 9,Castleton,32.0,Fitchburg State,3.0
2023,2,Sep. 9,St. Olaf,52.0,Luther,21.0
2023,2,Sep. 9,N.C. Wesleyan,0.0,Ferrum,34.0
2023,2,Sep. 9,Willamette,7.0,Lewis and Clark,38.0
2023,2,Sep. 9,Curry,14.0,Mass-Dartmouth,28.0
2023,2,Sep. 9,Albion,42.0,Bluffton,20.0
2023,2,Sep. 9,Guilford,39.0,Methodist,21.0
2023,2,Sep. 9,Greensboro,7.0,Averett,34.0
2023,2,Sep. 9,Nichols,70.0,Dean,7.0
2023,2,Sep. 9,Alvernia,23.0,Eastern,30.0
2023,2,Sep. 9,Alfred State,7.0,Rochester,49.0
2023,2,Sep. 9,Rose-Hulman,30.0,Trine,28.0
2023,2,Sep. 9,Belhaven,48.0,Lyon,15.0
2023,2,Sep. 9,Birmingham-Southern,0.0,Huntingdon,16.0
2023,2,Sep. 9,Howard Payne,10.0,BX,42.0
2023,2,Sep. 9,Lakeland,34.0,Buena Vista,16.0
2023,2,Sep. 9,UW-Platteville,35.0,Dubuque,19.0
2023,2,Sep. 9,Hamline,49.0,Minnesota-Morris,28.0
2023,2,Sep. 9,Wisconsin Lutheran,7.0,Carroll,51.0
2023,2,Sep. 9,Hendrix,37.0,East Texas Baptist,38.0
2023,2,Sep. 9,Texas Lutheran,39.0,Southwestern,7.0
2023,2,Sep. 9,George Fox,14.0,Pacific,9.0
2023,3,Sep. 16,Carthage,0.0,North Central (Ill.),70.0
2023,3,Sep. 16,Mount Union,28.0,Marietta,0.0
2023,3,Sep. 16,Buena Vista,0.0,Wartburg,47.0
2023,3,Sep. 16,UW-La Crosse,34.0,BX,3.0
2023,3,Sep. 16,UW-Whitewater,17.0,Mary Hardin-Baylor,14.0
2023,3,Sep. 16,Trinity (Texas),38.0,Birmingham-Southern,3.0
2023,3,Sep. 16,Johns Hopkins,42.0,Salisbury,7.0
2023,3,Sep. 16,Randolph-Macon,51.0,Southern Virginia,10.0
2023,3,Sep. 16,Susquehanna,38.0,Cortland,35.0
2023,3,Sep. 16,Wheaton (Ill.),47.0,Illinois Wesleyan,16.0
2023,3,Sep. 16,Aurora,63.0,Benedictine,7.0
2023,3,Sep. 16,Anderson,14.0,Alma,60.0
2023,3,Sep. 16,Endicott,27.0,SUNY-Maritime,0.0
2023,3,Sep. 16,John Carroll,30.0,Baldwin Wallace,7.0
2023,3,Sep. 16,Grove City,27.0,Case Western Reserve,24.0
2023,3,Sep. 16,Ithaca,22.0,Alfred,0.0
2023,3,Sep. 16,Whitworth,24.0,Chapman,17.0
2023,3,Sep. 16,Linfield,17.0,Redlands,10.0
2023,3,Sep. 16,Muhlenberg,38.0,TCNJ,10.0
2023,3,Sep. 16,UW-River Falls,75.0,Northwestern (Minn.),3.0
2023,3,Sep. 16,Delaware Valley,29.0,Eastern,6.0
2023,3,Sep. 15,Springfield,7.0,Union,34.0
2023,3,Sep. 15,Westfield State,0.0,Western Connecticut,42.0
2023,3,Sep. 15,RPI,25.0,WPI,0.0
2023,3,Sep. 15,Wesleyan,28.0,Bates,17.0
2023,3,Sep. 16,Rochester,17.0,Salve Regina,10.0
2023,3,Sep. 16,Mass-Dartmouth,33.0,Framingham State,7.0
2023,3,Sep. 16,Brockport,31.0,Wilkes,7.0
2023,3,Sep. 16,Fitchburg State,13.0,Worcester State,33.0
2023,3,Sep. 16,University of New England,31.0,Gallaudet,10.0
2023,3,Sep. 16,Stevenson,24.0,FDU-Florham,21.0
2023,3,Sep. 16,Nichols,42.0,Coast Guard,49.0
2023,3,Sep. 16,Rose-Hulman,19.0,Albion,48.0
2023,3,Sep. 16,Husson,31.0,Alfred State,13.0
2023,3,Sep. 16,Bowdoin,26.0,Hamilton,12.0
2023,3,Sep. 16,Buffalo State,41.0,Dean,7.0
2023,3,Sep. 16,LaGrange,10.0,Ferrum,13.0
2023,3,Sep. 16,Catholic,31.0,Morrisville State,20.0
2023,3,Sep. 16,St. John Fisher,35.0,Keystone,20.0
2023,3,Sep. 16,Norwich,28.0,Castleton,14.0
2023,3,Sep. 16,Widener,57.0,Alvernia,7.0
2023,3,Sep. 16,Hartwick,21.0,Juniata,31.0
2023,3,Sep. 16,Bethany,14.0,Thiel,22.0
2023,3,Sep. 16,Colby,22.0,Williams,25.0
2023,3,Sep. 16,Utica,38.0,Lycoming,35.0
2023,3,Sep. 16,MIT,16.0,Curry,20.0
2023,3,Sep. 16,Hanover,67.0,Olivet,17.0
2023,3,Sep. 16,Hiram,0.0,DePauw,49.0
2023,3,Sep. 16,Waynesburg,10.0,Carnegie Mellon,41.0
2023,3,Sep. 16,Maryville (Tenn.),27.0,Shenandoah,20.0
2023,3,Sep. 16,Mount St. Joseph,35.0,Hope,40.0
2023,3,Sep. 16,Hampden-Sydney,58.0,Greensboro,28.0
2023,3,Sep. 16,Misericordia,3.0,Lebanon Valley,31.0
2023,3,Sep. 16,Moravian,28.0,BX,29.0
2023,3,Sep. 16,Allegheny,19.0,St. Vincent,23.0
2023,3,Sep. 16,Denison,70.0,Oberlin,0.0
2023,3,Sep. 16,Defiance,35.0,Kalamazoo,42.0
2023,3,Sep. 16,Westminster (Pa.),3.0,Washington and Jefferson,48.0
2023,3,Sep. 16,Methodist,14.0,Washington and Lee,54.0
2023,3,Sep. 16,Franklin and Marshall,31.0,Montclair State,25.0
2023,3,Sep. 16,Dickinson,24.0,Kean,13.0
2023,3,Sep. 16,St. Lawrence,21.0,Western New England,42.0
2023,3,Sep. 16,Albright,0.0,King's,56.0
2023,3,Sep. 16,Greenville,59.0,Manchester,7.0
2023,3,Sep. 16,Sul Ross State,7.0,BX,27.0
2023,3,Sep. 16,Franklin,43.0,Trine,58.0
2023,3,Sep. 16,Tufts,19.0,Trinity (Conn.),44.0
2023,3,Sep. 16,Muskingum,45.0,Capital,38.0
2023,3,Sep. 16,Plymouth State,19.0,Bridgewater State,41.0
2023,3,Sep. 16,Amherst,7.0,Middlebury,21.0
2023,3,Sep. 16,N.C. Wesleyan,12.0,Bridgewater,41.0
2023,3,Sep. 16,McDaniel,14.0,William Paterson,35.0
2023,3,Sep. 16,Millsaps,21.0,Sewanee,27.0
2023,3,Sep. 16,Guilford,14.0,Huntingdon,40.0
2023,3,Sep. 16,Lyon,0.0,Howard Payne,85.0
2023,3,Sep. 16,Southwestern,38.0,Hendrix,51.0
2023,3,Sep. 16,Simpson,13.0,Nebraska Wesleyan,21.0
2023,3,Sep. 16,Gustavus Adolphus,7.0,UW-Stout,24.0
2023,3,Sep. 16,Monmouth,70.0,Lawrence,13.0
2023,3,Sep. 16,Concordia (Wis.),31.0,Lakeland,28.0
2023,3,Sep. 16,UW-Oshkosh,60.0,East Texas Baptist,7.0
2023,3,Sep. 16,Grinnell,33.0,Beloit,23.0
2023,3,Sep. 16,Coe,19.0,Central,11.0
2023,3,Sep. 16,Illinois College,52.0,Ripon,21.0
2023,3,Sep. 16,Centre,28.0,Rhodes,26.0
2023,3,Sep. 16,Rockford,28.0,Eureka,35.0
2023,3,Sep. 16,Martin Luther,0.0,Augsburg,62.0
2023,3,Sep. 16,Carroll,41.0,North Park,27.0
2023,3,Sep. 16,Luther,29.0,Loras,44.0
2023,3,Sep. 16,UW-Platteville,24.0,BX,20.0
2023,3,Sep. 16,Washington U.,63.0,Millikin,13.0
2023,3,Sep. 16,Wisconsin Lutheran,32.0,St. Norbert,37.0
2023,3,Sep. 16,Cornell,7.0,Lake Forest,41.0
2023,3,Sep. 16,Crown,18.0,St. Scholastica,38.0
2023,3,Sep. 16,Bethel,24.0,UW-Eau Claire,0.0
2023,3,Sep. 16,Massachusetts Maritime,30.0,Anna Maria,37.0
2023,3,Sep. 16,Wilmington,47.0,Otterbein,21.0
2023,3,Sep. 16,Bluffton,15.0,Adrian,23.0
2023,3,Sep. 16,Knox,0.0,Chicago,63.0
2023,3,Sep. 16,Carleton,38.0,Minnesota-Morris,12.0
2023,3,Sep. 16,Cal Lutheran,27.0,Pacific Lutheran,37.0
2023,3,Sep. 16,George Fox,7.0,Claremont-Mudd-Scripps,16.0
2023,3,Sep. 16,Gettysburg,17.0,Christopher Newport,49.0
2023,3,Sep. 16,La Verne,26.0,Puget Sound,21.0
2023,3,Sep. 16,Lewis and Clark,13.0,BX,49.0
2023,3,Sep. 16,Wabash,21.0,BX,47.0
2023,3,Sep. 16,Heidelberg,35.0,Ohio Northern,14.0
2023,3,Sep. 16,Kenyon,17.0,Wittenberg,56.0
2023,3,Sep. 16,Ursinus,44.0,Rowan,21.0
2023,3,Sep. 16,Averett,17.0,Brevard,14.0
2023,3,Sep. 16,Wooster,20.0,Ohio Wesleyan,49.0
2023,3,Sep. 16,Texas Lutheran,27.0,BX,14.0
2023,3,Sep. 16,Willamette,7.0,BX,49.0
2023,3,Sep. 16,Pacific,17.0,Pomona-Pitzer,24.0
2023,3,Sep. 16,Elmhurst,6.0,Augustana,74.0
2023,4,Sep. 23,North Central (Ill.),59.0,Elmhurst,6.0
2023,4,Sep. 23,Muskingum,7.0,Mount Union,74.0
2023,4,Sep. 23,Wartburg,63.0,Simpson,0.0
2023,4,Sep. 23,Rhodes,14.0,Trinity (Texas),63.0
2023,4,Sep. 23,Western New England,18.0,Susquehanna,26.0
2023,4,Sep. 23,Augustana,34.0,Wheaton (Ill.),41.0
2023,4,Sep. 23,Alma,48.0,Wittenberg,28.0
2023,4,Sep. 22,Hardin-Simmons,10.0,Endicott,37.0
2023,4,Sep. 23,Bethel,7.0,St. John's,27.0
2023,4,Sep. 23,John Carroll,34.0,Heidelberg,7.0
2023,4,Sep. 23,Carnegie Mellon,14.0,Grove City,21.0
2023,4,Sep. 23,Berry,49.0,Centre,16.0
2023,4,Sep. 23,King's,0.0,Delaware Valley,28.0
2023,4,Sep. 21,TCNJ,9.0,Franklin and Marshall,34.0
2023,4,Sep. 23,Curry,7.0,Utica,31.0
2023,4,Sep. 23,Westfield State,8.0,Framingham State,9.0
2023,4,Sep. 23,Worcester State,0.0,Mass-Dartmouth,59.0
2023,4,Sep. 23,SUNY-Maritime,19.0,Merchant Marine,36.0
2023,4,Sep. 23,Salve Regina,34.0,MIT,7.0
2023,4,Sep. 23,Northwestern (Minn.),17.0,Hope,54.0
2023,4,Sep. 23,Denison,55.0,Hiram,24.0
2023,4,Sep. 23,UW-Stevens Point,7.0,Albion,30.0
2023,4,Sep. 23,Lycoming,3.0,Brockport,59.0
2023,4,Sep. 23,FDU-Florham,14.0,Albright,6.0
2023,4,Sep. 23,Montclair State,7.0,Union,43.0
2023,4,Sep. 23,Westminster (Pa.),31.0,Waynesburg,20.0
2023,4,Sep. 23,Trinity (Conn.),48.0,Colby,7.0
2023,4,Sep. 23,Alfred,9.0,Catholic,6.0
2023,4,Sep. 23,Huntingdon,41.0,LaGrange,6.0
2023,4,Sep. 23,Hilbert,7.0,Alfred State,48.0
2023,4,Sep. 23,Southern Virginia,21.0,Methodist,27.0
2023,4,Sep. 23,Thiel,14.0,Washington and Jefferson,56.0
2023,4,Sep. 23,Rochester,29.0,University of New England,27.0
2023,4,Sep. 23,Ohio Wesleyan,7.0,DePauw,28.0
2023,4,Sep. 23,Kenyon,21.0,Wooster,70.0
2023,4,Sep. 23,Eastern,7.0,Lebanon Valley,45.0
2023,4,Sep. 23,Fitchburg State,3.0,Massachusetts Maritime,21.0
2023,4,Sep. 23,Hamilton,14.0,Amherst,17.0
2023,4,Sep. 23,Alvernia,15.0,Misericordia,35.0
2023,4,Sep. 23,Williams,0.0,Bowdoin,20.0
2023,4,Sep. 23,Middlebury,21.0,Wesleyan,24.0
2023,4,Sep. 23,Bethany,20.0,Allegheny,31.0
2023,4,Sep. 23,Austin,34.0,Crown,23.0
2023,4,Sep. 23,Minnesota-Morris,38.0,Lawrence,22.0
2023,4,Sep. 23,Greensboro,0.0,Belhaven,34.0
2023,4,Sep. 23,Adrian,35.0,Greenville,45.0
2023,4,Sep. 23,Otterbein,0.0,Marietta,50.0
2023,4,Sep. 23,Baldwin Wallace,31.0,Ohio Northern,21.0
2023,4,Sep. 23,Trine,14.0,Hanover,38.0
2023,4,Sep. 23,Castleton,0.0,St. Lawrence,28.0
2023,4,Sep. 23,Morrisville State,20.0,Moravian,19.0
2023,4,Sep. 23,Oberlin,6.0,Wabash,59.0
2023,4,Sep. 23,WPI,38.0,Norwich,17.0
2023,4,Sep. 23,Nebraska Wesleyan,6.0,Coe,56.0
2023,4,Sep. 23,Wisconsin Lutheran,0.0,Concordia (Wis.),41.0
2023,4,Sep. 23,St. Norbert,17.0,Eureka,21.0
2023,4,Sep. 23,Lakeland,41.0,Rockford,20.0
2023,4,Sep. 23,Illinois Wesleyan,23.0,Carroll,70.0
2023,4,Sep. 23,Concordia-Moorhead,49.0,St. Scholastica,16.0
2023,4,Sep. 23,Birmingham-Southern,20.0,Southwestern,43.0
2023,4,Sep. 23,Augsburg,33.0,Gustavus Adolphus,31.0
2023,4,Sep. 23,Central,41.0,Luther,16.0
2023,4,Sep. 23,Macalester,13.0,St. Olaf,38.0
2023,4,Sep. 23,Loras,23.0,Dubuque,35.0
2023,4,Sep. 23,Hendrix,53.0,Millsaps,42.0
2023,4,Sep. 23,Millikin,0.0,North Park,38.0
2023,4,Sep. 23,Hamline,27.0,Carleton,31.0
2023,4,Sep. 23,Concordia-Chicago,14.0,Benedictine,48.0
2023,4,Sep. 23,Carthage,7.0,Washington U.,38.0
2023,4,Sep. 23,Westminster (Mo.),7.0,Lyon,30.0
2023,4,Sep. 23,Hartwick,3.0,Nichols,52.0
2023,4,Sep. 23,Juniata,7.0,Shenandoah,48.0
2023,4,Sep. 23,Coast Guard,14.0,Springfield,63.0
2023,4,Sep. 23,Anna Maria,49.0,Husson,50.0
2023,4,Sep. 23,Western Connecticut,28.0,Bridgewater State,35.0
2023,4,Sep. 23,Wilkes,20.0,St. John Fisher,29.0
2023,4,Sep. 23,Cal Lutheran,28.0,Claremont-Mudd-Scripps,49.0
2023,4,Sep. 23,Maryville (Tenn.),35.0,Brevard,37.0
2023,4,Sep. 23,Dean,0.0,RPI,63.0
2023,4,Sep. 23,Keystone,10.0,Hobart,43.0
2023,4,Sep. 23,Bates,16.0,Tufts,44.0
2023,4,Sep. 23,Geneva,7.0,Case Western Reserve,42.0
2023,4,Sep. 23,Capital,24.0,Wilmington,49.0
2023,4,Sep. 23,McMurry,9.0,Mary Hardin-Baylor,50.0
2023,4,Sep. 23,La Verne,7.0,Pomona-Pitzer,34.0
2023,4,Sep. 23,Redlands,38.0,Chapman,21.0
2023,4,Sep. 24,Widener,7.0,Stevenson,49.0
2023,4,Sep. 24,Washington and Lee,28.0,BX,9.0
2023,5,Sep. 30,North Central (Ill.),54.0,Wheaton (Ill.),35.0
2023,5,Sep. 30,Ohio Northern,0.0,Mount Union,35.0
2023,5,Sep. 30,Coe,21.0,Wartburg,27.0
2023,5,Sep. 30,UW-Stout,40.0,UW-La Crosse,45.0
2023,5,Sep. 30,UW-Whitewater,37.0,UW-Oshkosh,21.0
2023,5,Sep. 30,Trinity (Texas),46.0,Berry,37.0
2023,5,Sep. 30,Johns Hopkins,55.0,Rowan,20.0
2023,5,Sep. 30,Randolph-Macon,70.0,Guilford,14.0
2023,5,Sep. 30,Catholic,21.0,Susquehanna,50.0
2023,5,Sep. 30,Cortland,52.0,Morrisville State,15.0
2023,5,Sep. 30,Eureka,10.0,Aurora,70.0
2023,5,Sep. 30,Trine,30.0,Alma,70.0
2023,5,Sep. 30,Endicott,66.0,Hilbert,0.0
2023,5,Sep. 30,Howard Payne,33.0,Hardin-Simmons,40.0
2023,5,Sep. 30,St. John's,27.0,Augsburg,24.0
2023,5,Sep. 30,Wilmington,7.0,John Carroll,59.0
2023,5,Sep. 30,Washington and Jefferson,24.0,Grove City,31.0
2023,5,Sep. 30,Hobart,14.0,Ithaca,24.0
2023,5,Sep. 30,Pacific Lutheran,13.0,Whitworth,42.0
2023,5,Sep. 30,Willamette,14.0,Linfield,70.0
2023,5,Sep. 29,Muhlenberg,28.0,Ursinus,20.0
2023,5,Sep. 30,UW-Platteville,16.0,UW-River Falls,27.0
2023,5,Sep. 29,Dean,17.0,Husson,75.0
2023,5,Sep. 29,Franklin and Marshall,17.0,Dickinson,19.0
2023,5,Sep. 30,Norwich,21.0,SUNY-Maritime,24.0
2023,5,Sep. 30,Massachusetts Maritime,10.0,Westfield State,17.0
2023,5,Sep. 30,Bridgewater State,38.0,Fitchburg State,14.0
